[891.0, '_l 0.96']
[595.0, '_l 0.95']
[328.0, '_2n2 0.95']
[1120.0, '_- 0.94']
[25.0, '_2n2 0.94']
[563.0, '_5x2 0.92']
[533.0, '_6x2 0.91']
[804.0, '_1n2 0.90']
[193.0, '_3n2 0.89']
[919.0, '_6x2 0.89']
[301.0, '_l 0.89']
[471.0, '_1n2 0.88']
[164.0, '_2n2 0.87']
[1186.0, '_l 0.85']
[54.0, '_3n2 0.84']
[835.0, '_3n2 0.83']
[497.0, '_7x2 0.79']
[777.0, '_6x2 0.78']
[776.0, '_0x2 0.76']
[1055.0, '_6x 0.70']
[358.0, '_3n2 0.68']
[451.0, '_1n2 0.66']
[53.0, '_2n2 0.65']
[126.0, '_6x4 0.65']
[267.0, '_6x4 0.65']
[394.0, '_6x4 0.61']
[141.0, '_5x4 0.60']
[228.0, '_6x4 0.59']
[919.0, '_3n2 0.57']
[412.0, '_5x4 0.55']
[89.0, '_6x4 0.54']
[469.0, '_1n4 0.53']
[1056.0, '_3n 0.50']
[113.0, '_5x4 0.50']
[443.0, '_6x4 0.49']
[229.0, '_6x2 0.48']
[677.0, '_5x4 0.47']
[448.0, '_1n2 0.46']
[429.0, '_6x4 0.43']
[125.0, '_5x4 0.42']
[282.0, '_5x4 0.41']
[863.0, '_3n2 0.41']
[753.0, '_2n4 0.35']
[625.0, '_3x4 0.34']
[644.0, '_2n4 0.32']
[415.0, '_6x4 0.31']
[625.0, '_3n2 0.30']
[784.0, '_1n2 0.30']
[631.0, '_2n4 0.30']
[1018.0, '_5x2 0.27']
[951.0, '_3n 0.26']
[672.0, '_1n4 0.26']
