[588.0, '_l 0.96']
[557.0, '_5x2 0.92']
[527.0, '_6x2 0.91']
[297.0, '_l 0.90']
[1008.0, '_1n2 0.88']
[910.0, '_2n2 0.87']
[617.0, '_2n2 0.87']
[977.0, '_5x2 0.86']
[491.0, '_7x2 0.85']
[28.0, '_2n2 0.83']
[324.0, '_2n2 0.82']
[163.0, '_2n2 0.74']
[696.0, '_5x4 0.72']
[141.0, '_5x4 0.71']
[754.0, '_2n2 0.71']
[352.0, '_3n2 0.70']
[222.0, '_6x4 0.67']
[1145.0, '_3n2 0.66']
[389.0, '_6x4 0.66']
[941.0, '_3n2 0.64']
[865.0, '_5x4 0.63']
[122.0, '_6x4 0.61']
[0.0, '_hx 0.61']
[54.0, '_3n2 0.59']
[467.0, '_1n2 0.58']
[676.0, '_6x4 0.58']
[86.0, '_6x4 0.57']
[1096.0, '_6x4 0.56']
[810.0, '_6x4 0.55']
[847.0, '_6x4 0.54']
[260.0, '_6x4 0.54']
[190.0, '_3n2 0.54']
[776.0, '_3n2 0.53']
[643.0, '_3n2 0.52']
[0.0, '_hx 0.50']
[1116.0, '_5x4 0.50']
[465.0, '_1n4 0.48']
[426.0, '_6x4 0.47']
[701.0, '_5x4 0.46']
[730.0, '_5x4 0.45']
[275.0, '_5x4 0.44']
[442.0, '_5x4 0.44']
[715.0, '_6x4 0.39']
[847.0, '_5x4 0.38']
[694.0, '_6x4 0.38']
[728.0, '_3x4 0.38']
[388.0, '_6x2 0.34']
[106.0, '_5x4 0.34']
[833.0, '_5x4 0.33']
[941.0, '_2n2 0.33']
[32.0, '_2n2 0.33']
[466.0, '_1x2 0.32']
[105.0, '_6x4 0.30']
[712.0, '_6x4 0.30']
[909.0, '_2x2 0.30']
[283.0, '_l 0.29']
[440.0, '_6x4 0.28']
[1049.0, '_1n4 0.28']
[713.0, '_5x4 0.27']
[221.0, '_6x2 0.26']
[1042.0, '_2n2 0.26']
