[812.0, '_3x2 0.96']
[617.0, '_l 0.95']
[374.0, '_3x2 0.95']
[644.0, '_2x2 0.95']
[973.0, '_3x2 0.95']
[1008.0, '_5x2 0.94']
[671.0, '_3x2 0.94']
[1033.0, '_1n2 0.94']
[1204.0, '_l 0.94']
[919.0, '_l 0.94']
[70.0, '_3x2 0.93']
[41.0, '_2x2 0.93']
[209.0, '_3x2 0.93']
[344.0, '_2x2 0.92']
[551.0, '_6u2 0.92']
[947.0, '_2x2 0.91']
[180.0, '_2x2 0.90']
[1168.0, '_3x2 0.89']
[1142.0, '_5x2 0.89']
[488.0, '_1x2 0.84']
[582.0, '_5u2 0.82']
[783.0, '_2x2 0.74']
[1087.0, '_1n4 0.72']
[242.0, '_6u4 0.69']
[1063.0, '_7x4 0.63']
[905.0, '_l 0.60']
[461.0, '_5x4 0.59']
[514.0, '_7u2 0.58']
[1118.0, '_6x4 0.58']
[898.0, '_5x4 0.56']
[706.0, '_6u4 0.56']
[852.0, '_6x4 0.53']
[158.0, '_5x4 0.48']
[415.0, '_6x4 0.46']
[263.0, '_6u4 0.45']
[107.0, '_6u4 0.44']
[1010.0, '_1n2 0.43']
[726.0, '_5x4 0.43']
[848.0, '_6x4 0.41']
[412.0, '_6x4 0.39']
[514.0, '_7x2 0.37']
[708.0, '_6x4 0.36']
[264.0, '_5u4 0.34']
[747.0, '_6u4 0.33']
[762.0, '_5x4 0.33']
[432.0, '_6u4 0.32']
[36.0, '_3x2 0.31']
[783.0, '_3x2 0.30']
[458.0, '_6u4 0.30']
[125.0, '_6u4 0.28']
[291.0, '_5u4 0.28']
[1131.0, '_5x4 0.27']
[868.0, '_5x4 0.25']
